YEAR;MO;DY;HR;ALLSKY_SFC_SW_DWN;T2M;RH2M;WS10M;WS50M;Wind_80m;Air_Density;Power_Output_kW;Solar_Output_kW;Total_Power_Output_kW;H2_Production_kg;System_Efficiency
2024;1;1;0;0;17,95;89,63;3,92;4,48;4,784701089;1,212585881;74,29846012;0;74,29846012;1,353872575;71,80%
2024;1;1;1;0;17,76;90,84;3,64;4,11;4,389536043;1,213377849;51,07635065;0;51,07635065;0,930471103;71,78%
2024;1;1;2;0;17,53;92,05;3,36;3,77;4,026411407;1,214337932;32,45195304;0;32,45195304;0,59099619;71,75%
2024;1;1;3;0;17,23;93,55;3,1;3,44;3,673966907;1,215592499;17,28482327;0;17,28482327;0,314649589;71,72%
2024;1;1;4;0;17,03;94,06;2,82;3,12;3,332202544;1,216430319;5,98564202;0;5,98564202;0,108931089;71,70%
2024;1;1;5;0;16,93;93,66;2,65;2,92;3,118599817;1,216849662;1,277267981;0;1,277267981;0,023241415;71,69%
2024;1;1;6;0;16,81;93,3;2,68;2,95;3,150640226;1,217353256;1,829140775;0;1,829140775;0,033277827;71,68%
2024;1;1;7;0;16,84;89,46;2,72;2,99;3,193360771;1,217227318;2,659765311;0;2,659765311;0,048391527;71,68%
2024;1;1;8;106,53;17,06;83,35;2,75;3,04;3,246761453;1,216304573;3,831575524;389,36715;393,1987255;7,156017211;71,71%
2024;1;1;9;270,3;17,6;76,73;2,67;2,8;2,99043818;1,214045572;0;987,9465;987,9465;17,99366519;71,76%
2024;1;1;10;426,05;18,22;70,58;2,28;2,37;2,531192317;1,21146223;0;1557,21275;1557,21275;28,38632846;71,82%
2024;1;1;11;541,45;19;64,32;1,87;1,96;2,093306726;1,208227794;0;1978,99975;1978,99975;36,11423402;71,90%
2024;1;1;12;645,22;19,88;55,67;1,18;1,25;1,335017045;1,204599358;0;2358,2791;2358,2791;43,08827306;71,99%
2024;1;1;13;640,78;20,36;53,24;0,83;0,85;0,90781159;1,202629382;0;2342,0509;2342,0509;42,82029915;72,04%
2024;1;1;14;576,35;20,38;55,23;1,53;1,62;1,73018209;1,20254744;0;2106,55925;2106,55925;38,51581605;72,04%
2024;1;1;15;443,88;20,2;57,13;2,43;2,58;2,75547518;1,203285325;0;1622,3814;1622,3814;29,65581432;72,02%
2024;1;1;16;262,8;19,89;62,5;3,34;3,58;3,823488816;1,204558251;23,13307884;960,534;983,6670788;17,97289577;71,99%
2024;1;1;17;69,22;19,44;70,09;3,72;4,28;4,571098361;1,206410848;61,05473773;252,9991;314,0538377;5,734591193;71,94%
2024;1;1;18;0;19,01;75,77;3,74;4,42;4,72062027;1,208186439;70,07781981;0;70,07781981;1,278849067;71,90%
2024;1;1;19;0;18,87;78,05;3,59;4,19;4,474977134;1,208765667;55,64666231;0;55,64666231;1,015297364;71,89%
2024;1;1;20;0;18,74;79,86;3,57;4,13;4,410896316;1,209304019;52,08314707;0;52,08314707;0,950107643;71,87%
2024;1;1;21;0;18,52;82,36;3,68;4,24;4,528377816;1,210216169;58,76626807;0;58,76626807;1,071693882;71,85%
2024;1;1;22;0;18,21;85,39;3,96;4,55;4,859462043;1,21150381;78,94503714;0;78,94503714;1,439063836;71,82%
2024;1;1;23;0;17,93;88;4,28;4,93;5,265307225;1,212669197;106,2556627;0;106,2556627;1,936145379;71,79%
2024;1;2;0;0;17,7;89,59;4,51;5,22;5,575031179;1,213628159;128,8779013;0;128,8779013;2,347605832;71,77%
2024;1;2;1;0;17,5;90,47;4,62;5,34;5,703192815;1,214463272;138,7135846;0;138,7135846;2,526065913;71,75%
2024;1;2;2;0;17,32;91,25;4,54;5,23;5,585711315;1,215215857;129,8501796;0;129,8501796;2,364064235;71,73%
2024;1;2;3;0;17,12;91,58;4,25;4,84;5,169185997;1,216053157;99,84281589;0;99,84281589;1,817240612;71,71%
2024;1;2;4;0;16,91;90,6;3,98;4,5;4,806061361;1,216933565;75,90750119;0;75,90750119;1,381189002;71,69%
2024;1;2;5;0;16,71;88,11;4;4,5;4,806061361;1,217773235;75,95987647;0;75,95987647;1,381756423;71,67%
2024;1;2;6;0;16,56;84,11;4,11;4,61;4,923542861;1,218403749;83,533966;0;83,533966;1,519215702;71,66%
2024;1;2;7;0;16,36;79,31;4,08;4,57;4,880822316;1,219245449;80,82242365;0;80,82242365;1,469491152;71,64%
2024;1;2;8;113,72;16,67;72,24;3,8;4,29;4,581778498;1,217941308;62,2678592;415,6466;477,9144592;8,693069936;71,67%
2024;1;2;9;302,1;17,48;63,7;3,43;3,6;3,844849089;1,214546847;24,23829427;1104,1755;1128,413794;20,54858703;71,75%
2024;1;2;10;479;18,26;56,79;2,76;2,86;3,054518998;1,21129594;0,396269949;1750,745;1751,14127;31,92321646;71,83%
2024;1;2;11;607,28;19,1;51,59;2,23;2,35;2,509832044;1,207814371;0;2219,6084;2219,6084;40,51067006;71,91%
2024;1;2;12;670,5;19,86;48,55;1,96;2,06;2,20010809;1,204681581;0;2450,6775;2450,6775;44,77524632;71,99%
2024;1;2;13;664,3;20,38;48,67;1,76;1,82;1,943784817;1,20254744;0;2428,0165;2428,0165;44,39326209;72,04%
2024;1;2;14;589,58;20,57;52,23;2,02;2,15;2,296229317;1,201769542;0;2154,9149;2154,9149;39,4103307;72,06%
